                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5019,                 2.8834,                 3.1774,                0.88127,                0.75704,                0.82053,                0.40008,                 1.8253,                 1.4276,                 2.3442,              0.0033321,              0.0033321,              0.0033321
                      2,                 1.5927,                 1.2648,                 2.0327,                0.92387,                0.81393,                0.89477,                0.51502,                 1.5074,                 1.0822,                 1.9773,              0.0065994,              0.0065994,              0.0065994
                      3,                 1.4714,                 1.0582,                 1.8691,                0.89754,                0.86691,                0.89885,                0.52808,                  1.418,                 1.0048,                 1.8845,              0.0098008,              0.0098008,              0.0098008
                      4,                 1.4128,                0.95989,                 1.7971,                0.94296,                0.88977,                0.94061,                0.56853,                  1.393,                0.77863,                 1.8124,               0.009703,               0.009703,               0.009703
                      5,                 1.3579,                0.88443,                  1.739,                0.94983,                0.89682,                0.93931,                0.57818,                 1.3741,                0.72249,                 1.8191,               0.009703,               0.009703,               0.009703
                      6,                 1.3196,                0.83468,                 1.6962,                0.97411,                0.90008,                0.95175,                 0.5854,                 1.3512,                0.68585,                 1.7809,               0.009604,               0.009604,               0.009604
                      7,                 1.2869,                0.79181,                 1.6655,                0.95598,                0.91417,                0.95679,                0.61122,                 1.3068,                0.65022,                 1.7358,               0.009505,               0.009505,               0.009505
                      8,                 1.2753,                0.77109,                 1.6562,                0.95338,                0.91792,                0.95099,                0.59705,                 1.3585,                0.64988,                  1.768,               0.009406,               0.009406,               0.009406
                      9,                 1.2569,                0.74883,                 1.6391,                0.96469,                 0.9273,                0.95698,                0.58036,                 1.3982,                0.61557,                 1.7891,               0.009307,               0.009307,               0.009307
                     10,                 1.2469,                0.72642,                 1.6282,                0.96429,                0.92454,                0.96316,                0.62166,                 1.2963,                0.58146,                 1.7254,               0.009208,               0.009208,               0.009208
                     11,                 1.2258,                 0.7114,                 1.6123,                0.96506,                0.92214,                0.95794,                0.59627,                 1.3533,                  0.583,                 1.7733,               0.009109,               0.009109,               0.009109
                     12,                 1.2199,                0.69783,                 1.6077,                0.96768,                0.92261,                0.96177,                0.61818,                 1.3049,                0.57188,                 1.7111,                0.00901,                0.00901,                0.00901
                     13,                 1.2075,                0.68815,                 1.5978,                0.97219,                0.92542,                0.96325,                0.62537,                 1.2977,                0.55531,                 1.7136,               0.008911,               0.008911,               0.008911
                     14,                 1.2089,                0.67566,                 1.5985,                0.96787,                0.93243,                 0.9634,                0.62926,                 1.2738,                0.54074,                 1.7067,               0.008812,               0.008812,               0.008812
                     15,                 1.1963,                0.66648,                 1.5841,                0.96929,                0.93262,                0.96543,                0.62804,                 1.2938,                0.53154,                 1.6986,               0.008713,               0.008713,               0.008713
                     16,                  1.193,                0.65046,                 1.5773,                0.96429,                0.93728,                0.96621,                0.63658,                 1.2559,                0.51088,                 1.6727,               0.008614,               0.008614,               0.008614
                     17,                 1.1849,                 0.6419,                 1.5762,                0.97051,                0.94162,                0.97073,                0.64596,                 1.2311,                0.49539,                  1.659,               0.008515,               0.008515,               0.008515
                     18,                 1.1762,                0.63283,                 1.5659,                0.96669,                0.93931,                0.97043,                0.64236,                 1.2497,                0.50017,                  1.676,               0.008416,               0.008416,               0.008416
                     19,                 1.1728,                0.62609,                 1.5652,                0.97476,                0.94206,                0.97076,                0.65336,                 1.2233,                0.49044,                 1.6521,               0.008317,               0.008317,               0.008317
                     20,                 1.1681,                0.62898,                  1.558,                0.97219,                0.94325,                0.97317,                0.65163,                 1.2264,                0.48193,                 1.6526,               0.008218,               0.008218,               0.008218
                     21,                 1.1599,                0.61962,                 1.5481,                0.96796,                0.94184,                0.97194,                0.64568,                 1.2439,                 0.4827,                   1.66,               0.008119,               0.008119,               0.008119
                     22,                 1.1576,                0.61351,                 1.5477,                0.97162,                0.94736,                0.97377,                0.65176,                 1.2345,                0.46563,                  1.659,                0.00802,                0.00802,                0.00802
                     23,                 1.1465,                0.60336,                 1.5379,                0.97287,                0.94179,                0.97361,                 0.6543,                 1.2183,                0.46854,                 1.6444,               0.007921,               0.007921,               0.007921
                     24,                  1.147,                0.59625,                 1.5385,                0.97621,                0.95028,                0.97529,                0.65623,                 1.2241,                0.46228,                 1.6524,               0.007822,               0.007822,               0.007822
