epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.896,3.38663,3.80948,3.52224,0.54723,0.42562,0.40456,0.15197,2.55386,2.68165,2.38566,0.00332565,0.00332565,0.00332565
2,233.267,2.05441,1.77143,2.03395,0.61952,0.6244,0.58795,0.22328,2.06453,1.68098,1.90213,0.00659306,0.00659306,0.00659306
3,348.382,1.77753,1.51569,1.74209,0.66566,0.72231,0.74143,0.32283,1.73775,1.36317,1.62686,0.00979447,0.00979447,0.00979447
4,463.005,1.62326,1.37703,1.61642,0.73594,0.758,0.7718,0.33427,1.6197,1.41024,1.53184,0.009703,0.009703,0.009703
5,577.571,1.55143,1.27118,1.54547,0.78641,0.73676,0.81107,0.40212,1.55191,1.2019,1.48701,0.009604,0.009604,0.009604
6,693.578,1.51091,1.21643,1.513,0.87181,0.85468,0.90223,0.42034,1.52582,1.12268,1.46499,0.009505,0.009505,0.009505
7,811.56,1.48273,1.18083,1.49434,0.85316,0.75143,0.80386,0.32564,1.64728,1.21904,1.54109,0.009406,0.009406,0.009406
8,927.757,1.4588,1.14654,1.47398,0.89182,0.82995,0.89975,0.41914,1.52097,1.08872,1.45726,0.009307,0.009307,0.009307
9,1042.45,1.44075,1.13443,1.46603,0.85218,0.85739,0.91335,0.43611,1.4219,1.16425,1.38972,0.009208,0.009208,0.009208
10,1156.93,1.42722,1.11284,1.44948,0.90128,0.87891,0.92421,0.45115,1.42823,1.08426,1.39689,0.009109,0.009109,0.009109
11,1271.23,1.41519,1.0898,1.44847,0.90577,0.87037,0.91598,0.46881,1.47562,0.9926,1.42564,0.00901,0.00901,0.00901
12,1385.44,1.40731,1.07526,1.43569,0.92272,0.8787,0.935,0.45589,1.44828,1.00278,1.41322,0.008911,0.008911,0.008911
13,1499.98,1.39926,1.06742,1.42768,0.90605,0.89351,0.92573,0.46605,1.45265,0.99652,1.4082,0.008812,0.008812,0.008812
14,1614.61,1.38588,1.04649,1.42157,0.91573,0.89678,0.93672,0.50229,1.38398,0.97875,1.36244,0.008713,0.008713,0.008713
15,1728.78,1.38537,1.04893,1.42101,0.9293,0.90293,0.93719,0.49893,1.40333,0.96817,1.37712,0.008614,0.008614,0.008614
16,1843.22,1.37866,1.03609,1.42247,0.90115,0.88347,0.93208,0.46351,1.43122,0.98878,1.40798,0.008515,0.008515,0.008515
17,1957.81,1.3744,1.03566,1.41132,0.94208,0.91535,0.9384,0.48678,1.38813,0.95754,1.36763,0.008416,0.008416,0.008416
18,2072.32,1.37109,1.02506,1.40597,0.9398,0.90749,0.94175,0.46815,1.43937,0.95911,1.39698,0.008317,0.008317,0.008317
19,2186.75,1.36551,1.01853,1.4034,0.90791,0.92295,0.94092,0.51009,1.34214,0.93815,1.34584,0.008218,0.008218,0.008218
20,2301.42,1.36003,1.00768,1.40566,0.91159,0.91201,0.93841,0.46744,1.40608,1.00598,1.38366,0.008119,0.008119,0.008119
21,2416.17,1.35395,0.9924,1.39945,0.94014,0.93401,0.95485,0.48966,1.40318,0.93371,1.37731,0.00802,0.00802,0.00802
22,2530.67,1.35306,0.99443,1.40204,0.94272,0.92255,0.94993,0.52732,1.3401,0.90808,1.3481,0.007921,0.007921,0.007921
23,2645.24,1.34628,0.98463,1.3998,0.94125,0.9324,0.94865,0.49594,1.38886,0.92613,1.37428,0.007822,0.007822,0.007822
24,2759.72,1.34565,0.97302,1.38869,0.92802,0.91968,0.94644,0.51673,1.33746,0.92893,1.34625,0.007723,0.007723,0.007723
25,2874.38,1.34105,0.97269,1.39042,0.95272,0.94152,0.96007,0.50257,1.38346,0.91554,1.36459,0.007624,0.007624,0.007624
26,2988.97,1.34158,0.96632,1.38663,0.9464,0.9407,0.95445,0.52175,1.35569,0.87864,1.34856,0.007525,0.007525,0.007525
27,3103.36,1.33317,0.96616,1.39294,0.95537,0.94528,0.96179,0.53476,1.33692,0.85637,1.34353,0.007426,0.007426,0.007426
28,3217.95,1.33412,0.93958,1.3879,0.94924,0.9531,0.96463,0.51467,1.3612,0.89997,1.35623,0.007327,0.007327,0.007327
29,3332.65,1.33387,0.9405,1.37936,0.94612,0.95222,0.96371,0.50802,1.36079,0.89776,1.35825,0.007228,0.007228,0.007228
30,3447.32,1.33514,0.95651,1.37986,0.94639,0.95047,0.95539,0.49726,1.36963,0.91305,1.35726,0.007129,0.007129,0.007129
31,3561.42,1.3274,0.94793,1.38117,0.94979,0.94752,0.96025,0.52127,1.34111,0.88711,1.34332,0.00703,0.00703,0.00703
32,3675.48,1.32498,0.9346,1.36906,0.94987,0.94492,0.95567,0.51407,1.34948,0.87647,1.34775,0.006931,0.006931,0.006931
33,3792.76,1.32456,0.92907,1.38054,0.95194,0.946,0.9614,0.54614,1.29688,0.85543,1.31658,0.006832,0.006832,0.006832
34,3910.47,1.3179,0.92367,1.37362,0.95282,0.94585,0.95833,0.52398,1.33958,0.86328,1.34016,0.006733,0.006733,0.006733
35,4025.5,1.32161,0.91856,1.3686,0.95608,0.95666,0.96631,0.52208,1.34327,0.86162,1.35093,0.006634,0.006634,0.006634
36,4140.14,1.31085,0.90166,1.36648,0.95785,0.94906,0.9594,0.53346,1.33939,0.84718,1.34299,0.006535,0.006535,0.006535
37,4254.33,1.30992,0.89524,1.36347,0.95715,0.95482,0.96398,0.54272,1.3283,0.83169,1.34285,0.006436,0.006436,0.006436
38,4368.73,1.31334,0.89306,1.37057,0.96124,0.96137,0.97104,0.53435,1.34178,0.83106,1.34361,0.006337,0.006337,0.006337
39,4483,1.31515,0.89782,1.37404,0.95303,0.95295,0.96425,0.5568,1.30979,0.82146,1.3315,0.006238,0.006238,0.006238
40,4597.31,1.30578,0.88785,1.37594,0.95773,0.95123,0.96322,0.53531,1.33046,0.83299,1.34054,0.006139,0.006139,0.006139
41,4711.77,1.30739,0.87552,1.37079,0.96037,0.9601,0.96519,0.53687,1.34837,0.81534,1.352,0.00604,0.00604,0.00604
42,4826.21,1.30703,0.86015,1.36373,0.95849,0.95394,0.96129,0.51992,1.37,0.82335,1.3614,0.005941,0.005941,0.005941
43,4940.79,1.30041,0.85384,1.36178,0.96652,0.95333,0.96579,0.54496,1.33832,0.79812,1.34585,0.005842,0.005842,0.005842
44,5055.27,1.30052,0.84703,1.36205,0.96216,0.96129,0.9613,0.53479,1.32646,0.80676,1.33867,0.005743,0.005743,0.005743
